0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
25.0,19.0,21.0,27.0,29.0,35.0,41.0,39.0,21.0,17.0,15.0,19.0,25.0,28.0,25.0,21.0,2
83.0,25.0,33.0,33.0,34.0,43.0,35.0,10.0,-3.0,72.0,25.0,12.0,-2.0,-8.0,40.0,8.0,2
34.0,21.0,0.0,12.0,12.0,14.0,15.0,14.0,10.0,0.0,0.0,-3.0,3.0,9.0,13.0,16.0,2
-32.0,4.0,0.0,-3.0,-11.0,-18.0,-5.0,8.0,-2.0,-5.0,-10.0,-13.0,-13.0,-13.0,-13.0,-13.0,2
22.0,37.0,43.0,35.0,32.0,32.0,43.0,48.0,-28.0,7.0,-10.0,4.0,4.0,5.0,18.0,0.0,2
130.0,30.0,39.0,32.0,36.0,38.0,41.0,40.0,41.0,93.0,52.0,39.0,8.0,-25.0,65.0,-7.0,2
-43.0,-43.0,-44.0,-47.0,-53.0,-56.0,-58.0,-64.0,-47.0,-44.0,-39.0,-39.0,-38.0,-38.0,-44.0,-47.0,2
120.0,-33.0,-31.0,-23.0,-23.0,-22.0,-17.0,9.0,42.0,-22.0,2.0,1.0,1.0,-9.0,-69.0,21.0,2
37.0,-20.0,-23.0,-32.0,-31.0,-26.0,-24.0,-56.0,-147.0,-51.0,-107.0,-65.0,-75.0,-74.0,-65.0,-111.0,2
94.0,29.0,35.0,26.0,31.0,27.0,11.0,13.0,21.0,24.0,27.0,27.0,23.0,23.0,20.0,12.0,2
-51.0,-25.0,-25.0,-24.0,-27.0,-34.0,-33.0,-53.0,-98.0,-45.0,-73.0,-32.0,-47.0,-50.0,-47.0,-79.0,2
58.0,-56.0,-39.0,-42.0,-45.0,-42.0,-32.0,-28.0,-16.0,0.0,-20.0,-30.0,-43.0,-82.0,-60.0,25.0,2
54.0,40.0,31.0,74.0,74.0,78.0,84.0,54.0,-69.0,40.0,-19.0,35.0,21.0,2.0,16.0,-33.0,2
8.0,-12.0,-19.0,-9.0,5.0,3.0,-7.0,-18.0,-8.0,-5.0,0.0,-4.0,-4.0,-5.0,-8.0,-8.0,2
-37.0,-52.0,-77.0,-51.0,-60.0,-71.0,-80.0,-68.0,-45.0,-40.0,-39.0,-43.0,-45.0,-47.0,-48.0,-50.0,2
0.0,-13.0,-26.0,-12.0,-5.0,7.0,11.0,5.0,4.0,3.0,3.0,7.0,7.0,6.0,0.0,-14.0,2
-25.0,-42.0,-53.0,-54.0,-42.0,-33.0,5.0,11.0,-65.0,-49.0,-43.0,-43.0,-44.0,-52.0,-47.0,-54.0,2
-2.0,-12.0,-20.0,-17.0,-17.0,-18.0,-11.0,-9.0,-13.0,-13.0,-12.0,-14.0,-13.0,-13.0,-13.0,-14.0,2
-10.0,-21.0,-9.0,-27.0,-22.0,-20.0,-20.0,-12.0,-15.0,-12.0,-14.0,-14.0,-16.0,-19.0,-21.0,-22.0,2
34.0,15.0,15.0,-18.0,-11.0,-13.0,-13.0,-33.0,-139.0,-57.0,-95.0,-70.0,-77.0,-77.0,-65.0,-108.0,2
1.0,5.0,-5.0,21.0,-1.0,-3.0,5.0,1.0,-58.0,-18.0,-56.0,-35.0,-40.0,-47.0,-29.0,-76.0,2
30.0,21.0,20.0,14.0,18.0,21.0,12.0,6.0,20.0,16.0,17.0,16.0,21.0,24.0,23.0,19.0,2
-33.0,-26.0,-21.0,-20.0,-16.0,-13.0,-7.0,-17.0,-13.0,-17.0,-14.0,-18.0,-15.0,-12.0,-10.0,-14.0,2
137.0,41.0,43.0,42.0,39.0,25.0,-2.0,-19.0,1.0,19.0,6.0,17.0,18.0,22.0,26.0,6.0,2
47.0,41.0,40.0,39.0,42.0,45.0,51.0,63.0,55.0,45.0,43.0,43.0,45.0,49.0,53.0,51.0,2
-30.0,9.0,11.0,12.0,2.0,-1.0,-7.0,-32.0,-4.0,-4.0,-27.0,-4.0,-8.0,-4.0,-2.0,-63.0,2
-11.0,-11.0,-20.0,-23.0,-31.0,-38.0,-46.0,-37.0,-7.0,-17.0,-13.0,-14.0,-12.0,-6.0,-2.0,-6.0,2
-310.0,11.0,22.0,32.0,26.0,23.0,7.0,1.0,135.0,68.0,42.0,50.0,33.0,6.0,-3.0,80.0,2
29.0,32.0,33.0,12.0,8.0,3.0,8.0,-2.0,-10.0,-11.0,-5.0,-3.0,0.0,-1.0,-2.0,-6.0,2
-82.0,40.0,33.0,36.0,32.0,28.0,6.0,-136.0,-261.0,-105.0,-169.0,-98.0,-106.0,-117.0,-137.0,-178.0,2
18.0,21.0,24.0,8.0,19.0,24.0,24.0,31.0,47.0,45.0,51.0,44.0,39.0,42.0,42.0,42.0,2
-15.0,-45.0,-40.0,-35.0,-16.0,1.0,-3.0,-16.0,-15.0,26.0,-17.0,9.0,-29.0,-72.0,-73.0,11.0,2
29.0,-53.0,-48.0,-65.0,-27.0,-16.0,-16.0,-20.0,-73.0,0.0,-33.0,-18.0,-41.0,-60.0,-41.0,-71.0,2
14.0,-50.0,-44.0,-44.0,-48.0,-48.0,-45.0,-25.0,62.0,-24.0,19.0,7.0,4.0,12.0,-52.0,24.0,2
135.0,45.0,50.0,54.0,45.0,43.0,31.0,21.0,-76.0,5.0,-42.0,-3.0,-19.0,-25.0,-19.0,-57.0,2
32.0,33.0,33.0,24.0,32.0,32.0,28.0,24.0,15.0,15.0,13.0,14.0,15.0,12.0,16.0,5.0,2
178.0,87.0,65.0,66.0,69.0,70.0,82.0,64.0,-46.0,31.0,-19.0,27.0,20.0,10.0,31.0,-11.0,2
122.0,-22.0,-37.0,5.0,22.0,27.0,33.0,25.0,5.0,-1.0,7.0,8.0,10.0,9.0,4.0,-6.0,2
-32.0,-40.0,-32.0,-29.0,-29.0,-33.0,-37.0,-48.0,-36.0,-37.0,-32.0,-35.0,-34.0,-35.0,-42.0,-39.0,2
-44.0,-20.0,-35.0,-34.0,-42.0,-45.0,-54.0,-33.0,31.0,-35.0,21.0,12.0,21.0,33.0,59.0,3.0,2
6.0,-7.0,-12.0,-10.0,-12.0,-15.0,-25.0,-32.0,5.0,-2.0,1.0,-2.0,-1.0,2.0,5.0,8.0,2
2.0,0.0,-2.0,-5.0,-1.0,-1.0,0.0,-3.0,-4.0,-7.0,-7.0,-7.0,-6.0,-7.0,-6.0,-13.0,2
-46.0,-31.0,-24.0,-23.0,-30.0,-29.0,-10.0,-13.0,-55.0,-37.0,-52.0,-37.0,-42.0,-39.0,-40.0,-50.0,2
-37.0,-32.0,-39.0,-44.0,-39.0,-41.0,-51.0,-56.0,-42.0,-39.0,-41.0,-41.0,-39.0,-39.0,-38.0,-40.0,2
-25.0,-26.0,-11.0,-12.0,-17.0,-19.0,-22.0,-28.0,-22.0,-25.0,-23.0,-23.0,-21.0,-19.0,-18.0,-17.0,2
-1.0,22.0,5.0,-15.0,-24.0,-31.0,-43.0,-61.0,-73.0,-6.0,-53.0,-32.0,-47.0,-67.0,-53.0,-74.0,2
95.0,63.0,71.0,44.0,59.0,64.0,59.0,58.0,-67.0,25.0,-27.0,12.0,-11.0,-41.0,-27.0,-13.0,2
-27.0,-66.0,-62.0,-23.0,-19.0,-18.0,-27.0,-44.0,-93.0,-43.0,-69.0,-44.0,-42.0,-34.0,-24.0,-66.0,2
122.0,-95.0,-121.0,9.0,1.0,-10.0,-27.0,14.0,207.0,-8.0,103.0,48.0,87.0,69.0,85.0,112.0,2
398.0,-24.0,-8.0,-15.0,-7.0,-1.0,8.0,44.0,88.0,93.0,81.0,43.0,28.0,-10.0,61.0,57.0,2
183.0,-4.0,-23.0,-28.0,-7.0,-4.0,-10.0,-8.0,77.0,4.0,9.0,23.0,6.0,-33.0,-34.0,36.0,2
-26.0,-5.0,4.0,-7.0,2.0,11.0,9.0,-2.0,-6.0,-5.0,-4.0,-4.0,-1.0,-2.0,-4.0,-3.0,2
286.0,-55.0,-40.0,-45.0,-43.0,-41.0,-16.0,20.0,104.0,14.0,57.0,23.0,9.0,-28.0,11.0,15.0,2
45.0,27.0,3.0,19.0,25.0,27.0,22.0,38.0,52.0,52.0,56.0,52.0,50.0,50.0,56.0,47.0,2
-269.0,-48.0,-38.0,-67.0,-41.0,-24.0,3.0,-34.0,-199.0,-103.0,-158.0,-107.0,-123.0,-145.0,-128.0,-173.0,2
-361.0,21.0,28.0,30.0,31.0,33.0,41.0,-10.0,-47.0,16.0,-43.0,-8.0,-25.0,-32.0,3.0,-31.0,2
44.0,38.0,38.0,29.0,26.0,28.0,42.0,40.0,46.0,45.0,43.0,38.0,40.0,47.0,51.0,52.0,2
15.0,39.0,45.0,39.0,30.0,34.0,36.0,7.0,-14.0,3.0,-8.0,7.0,8.0,17.0,14.0,-3.0,2
61.0,-2.0,5.0,-3.0,-3.0,-1.0,-4.0,17.0,24.0,83.0,50.0,34.0,21.0,38.0,136.0,5.0,2
-216.0,55.0,49.0,38.0,45.0,45.0,33.0,3.0,-153.0,38.0,-38.0,-3.0,-21.0,11.0,141.0,-150.0,2
-21.0,12.0,6.0,23.0,-4.0,-14.0,-33.0,-43.0,-97.0,-35.0,-72.0,-44.0,-59.0,-81.0,-68.0,-103.0,2
31.0,12.0,17.0,11.0,17.0,17.0,11.0,1.0,1.0,1.0,1.0,-3.0,-2.0,-2.0,3.0,4.0,2
29.0,-50.0,-50.0,-72.0,-27.0,-17.0,-12.0,-13.0,-75.0,-3.0,-39.0,-23.0,-47.0,-66.0,-49.0,-78.0,2
99.0,22.0,9.0,-2.0,12.0,17.0,36.0,62.0,162.0,35.0,74.0,44.0,48.0,-14.0,7.0,100.0,2
-29.0,-17.0,-15.0,-6.0,-10.0,-14.0,-28.0,-34.0,-34.0,-29.0,-33.0,-31.0,-30.0,-29.0,-24.0,-30.0,2
-22.0,2.0,3.0,-12.0,-3.0,-4.0,1.0,11.0,-11.0,-1.0,6.0,8.0,3.0,7.0,4.0,-1.0,2
1.0,-14.0,-26.0,-22.0,-23.0,-30.0,-35.0,-43.0,8.0,-13.0,-6.0,-5.0,-1.0,3.0,4.0,-2.0,2
128.0,-19.0,-4.0,-7.0,-5.0,-2.0,5.0,21.0,87.0,19.0,51.0,35.0,18.0,-16.0,14.0,-35.0,2
-9.0,7.0,13.0,9.0,2.0,1.0,7.0,19.0,19.0,17.0,17.0,14.0,16.0,22.0,20.0,19.0,2
363.0,-21.0,-3.0,5.0,17.0,25.0,25.0,60.0,137.0,74.0,96.0,55.0,35.0,8.0,76.0,44.0,2
-11.0,-12.0,-20.0,-19.0,-19.0,-9.0,0.0,-18.0,-12.0,-15.0,-15.0,-11.0,-11.0,-5.0,0.0,-16.0,2
94.0,-45.0,-36.0,-35.0,-40.0,-38.0,-22.0,5.0,69.0,-12.0,32.0,18.0,14.0,6.0,-58.0,20.0,2
73.0,32.0,18.0,17.0,-5.0,-18.0,-17.0,10.0,5.0,-1.0,-47.0,-12.0,-22.0,-18.0,-2.0,-41.0,2
244.0,44.0,58.0,49.0,60.0,65.0,65.0,68.0,35.0,106.0,60.0,43.0,28.0,19.0,74.0,64.0,2
221.0,-16.0,13.0,3.0,-3.0,11.0,39.0,54.0,12.0,-28.0,-52.0,-27.0,-39.0,-93.0,-82.0,-5.0,2
-214.0,36.0,29.0,27.0,24.0,27.0,41.0,-16.0,-112.0,27.0,-24.0,-8.0,-2.0,26.0,89.0,-134.0,2
-66.0,-10.0,0.0,-21.0,-18.0,-14.0,-3.0,4.0,-15.0,-4.0,-2.0,0.0,-3.0,-4.0,-9.0,-20.0,2
71.0,-21.0,-26.0,-37.0,-31.0,-23.0,-16.0,-18.0,-38.0,-15.0,-33.0,-26.0,-26.0,-25.0,-29.0,-48.0,2
189.0,-33.0,-28.0,-26.0,-19.0,-20.0,-18.0,9.0,62.0,-12.0,12.0,4.0,1.0,-13.0,-64.0,23.0,2
21.0,-13.0,-16.0,-7.0,-6.0,-6.0,-8.0,-5.0,3.0,8.0,12.0,7.0,1.0,1.0,-4.0,-4.0,2
77.0,-8.0,4.0,0.0,-16.0,-16.0,-2.0,-16.0,-73.0,-41.0,-103.0,-66.0,-84.0,-123.0,-119.0,-49.0,2
-121.0,-31.0,-107.0,-66.0,-36.0,-30.0,-8.0,10.0,145.0,33.0,34.0,29.0,7.0,-35.0,-39.0,74.0,2
-82.0,47.0,35.0,50.0,56.0,66.0,64.0,0.0,-111.0,5.0,-45.0,10.0,-15.0,-33.0,-23.0,-74.0,2
-193.0,43.0,43.0,40.0,35.0,36.0,30.0,26.0,-55.0,47.0,14.0,9.0,4.0,20.0,125.0,-35.0,2
