0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
19.0,23.0,24.0,25.0,40.0,64.0,49.0,24.0,-38.0,21.0,27.0,29.0,37.0,73.0,61.0,35.0,3
8.0,8.0,11.0,13.0,14.0,12.0,2.0,6.0,78.0,-34.0,7.0,10.0,1.0,1.0,10.0,0.0,3
-90.0,-87.0,-84.0,-81.0,-78.0,-124.0,-103.0,-101.0,314.0,-110.0,-95.0,-88.0,-92.0,-73.0,-128.0,-109.0,3
34.0,39.0,37.0,29.0,41.0,66.0,24.0,31.0,-69.0,39.0,47.0,42.0,44.0,58.0,18.0,30.0,3
14.0,9.0,7.0,7.0,5.0,5.0,3.0,11.0,38.0,-14.0,9.0,6.0,12.0,25.0,27.0,12.0,3
-9.0,-10.0,-9.0,-4.0,1.0,-104.0,-17.0,-9.0,-4.0,-7.0,-5.0,-2.0,-13.0,8.0,-12.0,-10.0,3
-26.0,-25.0,-28.0,-32.0,-26.0,-62.0,-100.0,-40.0,-50.0,-152.0,-20.0,-19.0,3.0,118.0,55.0,-3.0,3
-32.0,-23.0,-23.0,-7.0,-2.0,6.0,-69.0,-45.0,131.0,388.0,-26.0,18.0,59.0,116.0,9.0,4.0,3
0.0,2.0,3.0,4.0,17.0,-5.0,-24.0,-2.0,1.0,-3.0,5.0,7.0,-5.0,27.0,11.0,-4.0,3
124.0,125.0,126.0,121.0,123.0,118.0,123.0,122.0,117.0,107.0,127.0,125.0,124.0,110.0,133.0,119.0,3
9.0,5.0,4.0,5.0,2.0,23.0,38.0,15.0,112.0,-31.0,1.0,-4.0,-15.0,-34.0,-6.0,5.0,3
15.0,14.0,12.0,8.0,-28.0,-64.0,9.0,13.0,-17.0,19.0,8.0,1.0,-14.0,-16.0,-10.0,-10.0,3
47.0,57.0,54.0,54.0,50.0,11.0,52.0,60.0,614.0,-589.0,8.0,54.0,61.0,20.0,23.0,26.0,3
-42.0,-37.0,-36.0,-31.0,3.0,78.0,-49.0,-53.0,13.0,76.0,-33.0,-13.0,22.0,38.0,-6.0,-39.0,3
5.0,3.0,4.0,5.0,-15.0,-88.0,-14.0,-7.0,30.0,-4.0,5.0,9.0,23.0,66.0,-5.0,1.0,3
32.0,32.0,30.0,29.0,23.0,19.0,15.0,23.0,17.0,33.0,30.0,28.0,5.0,-26.0,-22.0,19.0,3
30.0,34.0,35.0,40.0,42.0,27.0,9.0,28.0,-54.0,55.0,43.0,40.0,40.0,31.0,25.0,29.0,3
0.0,-2.0,-2.0,0.0,-3.0,-1.0,0.0,0.0,-4.0,-1.0,-1.0,-5.0,0.0,-4.0,2.0,2.0,3
21.0,29.0,38.0,47.0,58.0,3.0,13.0,28.0,-241.0,154.0,59.0,63.0,81.0,69.0,54.0,40.0,3
-6.0,0.0,0.0,-3.0,-10.0,-9.0,0.0,-3.0,-7.0,3.0,0.0,-8.0,-32.0,-105.0,-58.0,-24.0,3
-38.0,-40.0,-36.0,-31.0,-27.0,-71.0,-48.0,-41.0,3.0,-167.0,-34.0,-35.0,-37.0,-45.0,-53.0,-38.0,3
6.0,6.0,6.0,8.0,18.0,27.0,-7.0,2.0,8.0,12.0,9.0,12.0,18.0,29.0,31.0,24.0,3
33.0,25.0,25.0,28.0,38.0,42.0,11.0,17.0,41.0,28.0,29.0,31.0,48.0,81.0,49.0,33.0,3
-7.0,-6.0,-4.0,-9.0,3.0,-31.0,-22.0,-8.0,-18.0,10.0,0.0,2.0,5.0,8.0,-7.0,-1.0,3
-60.0,12.0,16.0,14.0,12.0,-5.0,7.0,11.0,-760.0,501.0,46.0,18.0,13.0,24.0,13.0,6.0,3
30.0,29.0,32.0,37.0,46.0,64.0,41.0,25.0,-37.0,37.0,30.0,27.0,44.0,47.0,6.0,27.0,3
12.0,12.0,12.0,12.0,7.0,14.0,12.0,10.0,-7.0,22.0,10.0,9.0,-1.0,5.0,11.0,12.0,3
10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,4.0,7.0,14.0,16.0,12.0,4.0,12.0,10.0,3
44.0,23.0,19.0,18.0,28.0,24.0,17.0,8.0,485.0,-319.0,7.0,27.0,18.0,14.0,1.0,-4.0,3
-12.0,-8.0,-7.0,-5.0,0.0,11.0,-22.0,-17.0,-58.0,17.0,-1.0,1.0,13.0,10.0,-1.0,-4.0,3
-16.0,-17.0,-20.0,-25.0,-26.0,2.0,-26.0,-16.0,-33.0,-5.0,-15.0,-22.0,-30.0,-55.0,-15.0,-17.0,3
1.0,1.0,0.0,0.0,11.0,24.0,5.0,3.0,-14.0,14.0,1.0,2.0,1.0,44.0,30.0,10.0,3
0.0,0.0,-1.0,1.0,11.0,18.0,1.0,5.0,-53.0,17.0,-1.0,0.0,7.0,27.0,27.0,7.0,3
8.0,5.0,4.0,9.0,21.0,92.0,46.0,18.0,-29.0,37.0,10.0,8.0,11.0,7.0,48.0,24.0,3
-7.0,-7.0,-8.0,-8.0,-12.0,-1.0,-4.0,-2.0,-13.0,-8.0,-9.0,-12.0,-18.0,-25.0,-10.0,-5.0,3
17.0,18.0,17.0,16.0,20.0,17.0,19.0,18.0,-38.0,21.0,17.0,19.0,18.0,12.0,22.0,16.0,3
108.0,109.0,110.0,109.0,116.0,113.0,112.0,112.0,-15.0,114.0,115.0,110.0,113.0,95.0,118.0,109.0,3
35.0,36.0,34.0,35.0,23.0,11.0,23.0,33.0,-7.0,46.0,29.0,19.0,6.0,-28.0,-32.0,8.0,3
20.0,17.0,19.0,23.0,31.0,31.0,16.0,7.0,17.0,-169.0,17.0,14.0,0.0,-17.0,-7.0,-18.0,3
-2.0,0.0,-2.0,-4.0,0.0,-18.0,-18.0,-10.0,-2.0,-19.0,-2.0,2.0,17.0,20.0,-12.0,-13.0,3
19.0,15.0,12.0,4.0,-18.0,-29.0,40.0,27.0,13.0,18.0,9.0,-1.0,-32.0,-57.0,-4.0,13.0,3
152.0,153.0,155.0,158.0,153.0,149.0,153.0,156.0,72.0,128.0,155.0,156.0,157.0,142.0,160.0,154.0,3
19.0,7.0,-6.0,-14.0,-39.0,19.0,50.0,23.0,-4.0,-52.0,-10.0,-31.0,-87.0,-139.0,10.0,11.0,3
16.0,19.0,18.0,14.0,12.0,76.0,59.0,21.0,-88.0,44.0,23.0,26.0,36.0,43.0,73.0,33.0,3
-1.0,-2.0,-4.0,-6.0,-8.0,-3.0,7.0,3.0,-5.0,2.0,-3.0,-5.0,-10.0,-24.0,-4.0,4.0,3
-4.0,-3.0,-3.0,-1.0,-2.0,-22.0,1.0,-1.0,12.0,-20.0,-6.0,-2.0,-6.0,-10.0,-8.0,-2.0,3
-2.0,-1.0,3.0,6.0,17.0,43.0,8.0,0.0,24.0,0.0,5.0,14.0,24.0,52.0,28.0,4.0,3
-37.0,33.0,35.0,37.0,57.0,71.0,52.0,40.0,-741.0,527.0,67.0,41.0,52.0,32.0,30.0,40.0,3
37.0,37.0,36.0,38.0,49.0,63.0,39.0,43.0,-88.0,89.0,46.0,41.0,56.0,56.0,67.0,58.0,3
-7.0,-6.0,-8.0,-10.0,-13.0,-21.0,-21.0,-5.0,-30.0,2.0,-6.0,-6.0,-5.0,4.0,-6.0,-6.0,3
-18.0,-16.0,-13.0,-10.0,-9.0,-37.0,-54.0,-26.0,6.0,-18.0,-11.0,-3.0,21.0,70.0,-11.0,-12.0,3
33.0,27.0,26.0,25.0,17.0,12.0,20.0,24.0,37.0,21.0,24.0,28.0,29.0,35.0,18.0,28.0,3
-3.0,-2.0,-2.0,-5.0,-4.0,8.0,-17.0,1.0,-26.0,22.0,5.0,8.0,7.0,10.0,17.0,9.0,3
40.0,43.0,46.0,50.0,64.0,92.0,66.0,43.0,-13.0,63.0,51.0,57.0,91.0,142.0,74.0,51.0,3
-7.0,-5.0,-4.0,-2.0,0.0,-42.0,-15.0,-9.0,-11.0,-3.0,-4.0,0.0,19.0,38.0,-12.0,-10.0,3
18.0,16.0,15.0,16.0,27.0,35.0,17.0,20.0,0.0,29.0,17.0,16.0,18.0,14.0,17.0,19.0,3
2.0,-1.0,-6.0,-10.0,-13.0,-1.0,3.0,2.0,3.0,-2.0,-2.0,-4.0,-3.0,-17.0,-2.0,3.0,3
7.0,8.0,7.0,9.0,9.0,7.0,11.0,8.0,47.0,-16.0,3.0,2.0,5.0,1.0,13.0,10.0,3
7.0,6.0,5.0,8.0,8.0,-2.0,12.0,5.0,-5.0,10.0,1.0,-1.0,-22.0,-76.0,-11.0,2.0,3
19.0,19.0,17.0,11.0,-23.0,-65.0,-13.0,17.0,-32.0,35.0,15.0,-1.0,-29.0,-127.0,-56.0,3.0,3
-13.0,-11.0,-11.0,-11.0,-13.0,-23.0,-24.0,-13.0,40.0,-28.0,-12.0,-10.0,-6.0,-1.0,5.0,-7.0,3
-11.0,-5.0,0.0,3.0,2.0,15.0,-22.0,-14.0,-41.0,10.0,1.0,7.0,30.0,45.0,-33.0,-12.0,3
-8.0,-3.0,0.0,6.0,17.0,0.0,-18.0,-10.0,-20.0,8.0,5.0,10.0,11.0,3.0,9.0,8.0,3
12.0,12.0,12.0,13.0,13.0,11.0,5.0,11.0,4.0,13.0,13.0,14.0,8.0,-15.0,-2.0,8.0,3
-6.0,-5.0,-5.0,-5.0,-3.0,-12.0,-16.0,-11.0,-1.0,-8.0,-6.0,-4.0,-1.0,14.0,-8.0,-4.0,3
6.0,6.0,6.0,8.0,23.0,37.0,33.0,18.0,-31.0,-10.0,17.0,5.0,19.0,22.0,54.0,25.0,3
19.0,20.0,17.0,12.0,20.0,47.0,45.0,32.0,-65.0,4.0,17.0,6.0,-2.0,39.0,43.0,27.0,3
30.0,31.0,28.0,20.0,6.0,-44.0,23.0,22.0,47.0,17.0,23.0,21.0,20.0,27.0,16.0,9.0,3
79.0,71.0,72.0,70.0,74.0,82.0,74.0,76.0,-67.0,106.0,76.0,68.0,71.0,78.0,72.0,72.0,3
-8.0,-12.0,-10.0,-9.0,-7.0,-12.0,-13.0,-13.0,6.0,-15.0,-9.0,-6.0,-1.0,4.0,-3.0,-1.0,3
27.0,29.0,33.0,43.0,64.0,65.0,8.0,21.0,32.0,32.0,37.0,54.0,84.0,145.0,68.0,41.0,3
-2.0,-2.0,-4.0,-7.0,-17.0,-47.0,-35.0,-9.0,-4.0,-4.0,-4.0,-3.0,5.0,38.0,17.0,-2.0,3
38.0,41.0,39.0,35.0,15.0,-34.0,20.0,29.0,-130.0,80.0,49.0,36.0,28.0,33.0,-6.0,21.0,3
59.0,59.0,61.0,66.0,64.0,59.0,60.0,61.0,-55.0,84.0,61.0,62.0,66.0,63.0,61.0,59.0,3
-30.0,-28.0,-26.0,-30.0,-23.0,24.0,-1.0,-17.0,-26.0,-11.0,-19.0,-19.0,-4.0,7.0,0.0,-3.0,3
16.0,16.0,15.0,14.0,7.0,25.0,5.0,10.0,50.0,-5.0,14.0,21.0,30.0,10.0,-6.0,8.0,3
8.0,8.0,8.0,9.0,2.0,-19.0,0.0,9.0,19.0,-2.0,5.0,5.0,-5.0,-11.0,-8.0,8.0,3
17.0,17.0,17.0,19.0,21.0,17.0,17.0,14.0,-29.0,23.0,15.0,19.0,27.0,25.0,22.0,21.0,3
8.0,6.0,8.0,7.0,0.0,-7.0,3.0,4.0,-1.0,12.0,5.0,2.0,-13.0,-44.0,2.0,2.0,3
25.0,33.0,33.0,37.0,44.0,33.0,16.0,24.0,-44.0,10.0,33.0,32.0,38.0,25.0,29.0,28.0,3
-49.0,-68.0,-71.0,-66.0,-44.0,15.0,-49.0,-57.0,-40.0,-138.0,-66.0,-69.0,-70.0,-66.0,-69.0,-67.0,3
-1.0,-4.0,-4.0,-6.0,-3.0,58.0,9.0,2.0,-28.0,10.0,0.0,4.0,22.0,35.0,8.0,8.0,3
-60.0,-60.0,-59.0,-57.0,-57.0,-33.0,-38.0,-53.0,-6.0,87.0,-74.0,-58.0,-47.0,-88.0,-54.0,-23.0,3
2.0,1.0,0.0,1.0,10.0,57.0,14.0,3.0,-11.0,2.0,-1.0,-4.0,-11.0,5.0,12.0,0.0,3
3.0,0.0,-3.0,-10.0,-35.0,-56.0,-16.0,5.0,10.0,-8.0,-7.0,-19.0,-30.0,-56.0,3.0,5.0,3
9.0,16.0,18.0,19.0,16.0,46.0,54.0,29.0,-13.0,28.0,21.0,15.0,-1.0,-46.0,13.0,13.0,3
5.0,3.0,3.0,4.0,21.0,30.0,16.0,3.0,-16.0,17.0,8.0,10.0,24.0,65.0,20.0,14.0,3
-20.0,-19.0,-17.0,-14.0,-16.0,-33.0,-37.0,-27.0,-6.0,-14.0,-15.0,-12.0,-4.0,-14.0,-19.0,-18.0,3
20.0,19.0,19.0,21.0,35.0,13.0,41.0,29.0,9.0,17.0,14.0,14.0,44.0,-12.0,-2.0,14.0,3
7.0,5.0,5.0,5.0,-2.0,-43.0,-9.0,-6.0,26.0,0.0,9.0,15.0,35.0,45.0,28.0,5.0,3
63.0,25.0,24.0,25.0,35.0,46.0,25.0,8.0,521.0,-270.0,15.0,24.0,29.0,41.0,34.0,25.0,3
22.0,23.0,25.0,33.0,68.0,96.0,29.0,12.0,-152.0,76.0,40.0,38.0,62.0,129.0,58.0,28.0,3
6.0,7.0,7.0,9.0,12.0,10.0,3.0,2.0,-7.0,9.0,6.0,8.0,11.0,7.0,-7.0,0.0,3
26.0,18.0,14.0,10.0,-3.0,-7.0,-45.0,7.0,12.0,-11.0,9.0,1.0,3.0,-18.0,0.0,6.0,3
-12.0,-19.0,-23.0,-28.0,-54.0,-33.0,-22.0,-20.0,24.0,-35.0,-23.0,-29.0,-28.0,16.0,-24.0,-22.0,3
-1.0,-3.0,-5.0,-9.0,0.0,19.0,-7.0,-4.0,-1.0,-4.0,0.0,0.0,0.0,-3.0,10.0,0.0,3
20.0,19.0,16.0,7.0,-26.0,-128.0,-18.0,8.0,-4.0,17.0,10.0,1.0,1.0,-16.0,5.0,-1.0,3
1.0,12.0,15.0,19.0,19.0,27.0,23.0,13.0,-55.0,16.0,17.0,16.0,21.0,39.0,19.0,2.0,3
12.0,8.0,5.0,5.0,11.0,7.0,-1.0,10.0,-5.0,6.0,8.0,9.0,2.0,11.0,27.0,13.0,3
0.0,0.0,1.0,-2.0,-2.0,5.0,-11.0,-1.0,-24.0,9.0,0.0,-2.0,-8.0,-27.0,-5.0,2.0,3
32.0,39.0,33.0,29.0,20.0,48.0,45.0,40.0,703.0,-657.0,-10.0,31.0,16.0,-30.0,33.0,34.0,3
-4.0,33.0,37.0,37.0,36.0,63.0,46.0,38.0,333.0,-440.0,-2.0,38.0,33.0,8.0,35.0,28.0,3
11.0,10.0,9.0,8.0,8.0,29.0,3.0,3.0,25.0,-8.0,8.0,7.0,5.0,-10.0,1.0,4.0,3
-16.0,26.0,29.0,35.0,42.0,31.0,14.0,23.0,152.0,-295.0,2.0,41.0,59.0,76.0,45.0,25.0,3
25.0,23.0,20.0,13.0,-6.0,-11.0,22.0,31.0,-41.0,20.0,18.0,12.0,-3.0,-33.0,13.0,27.0,3
-10.0,-12.0,-14.0,-14.0,-11.0,-21.0,-18.0,-10.0,3.0,-18.0,-11.0,-17.0,-15.0,-26.0,-12.0,-7.0,3
-100.0,-96.0,-89.0,-89.0,-94.0,6.0,-40.0,-96.0,42.0,-158.0,-80.0,-80.0,-30.0,-22.0,-107.0,-115.0,3
33.0,32.0,28.0,24.0,16.0,-15.0,25.0,28.0,16.0,29.0,25.0,22.0,16.0,23.0,7.0,15.0,3
56.0,61.0,64.0,68.0,74.0,53.0,44.0,51.0,-4.0,60.0,64.0,68.0,90.0,109.0,46.0,50.0,3
-3.0,-7.0,-8.0,1.0,4.0,-27.0,-30.0,-16.0,163.0,-97.0,0.0,8.0,20.0,9.0,-29.0,1.0,3
3.0,4.0,5.0,4.0,6.0,4.0,5.0,3.0,7.0,1.0,6.0,7.0,-8.0,-45.0,-12.0,-4.0,3
13.0,15.0,18.0,19.0,39.0,10.0,-8.0,-2.0,-37.0,35.0,17.0,21.0,25.0,-35.0,-15.0,-4.0,3
25.0,34.0,37.0,37.0,39.0,54.0,36.0,31.0,-96.0,86.0,46.0,41.0,57.0,56.0,53.0,40.0,3
23.0,20.0,17.0,20.0,27.0,10.0,23.0,24.0,45.0,7.0,16.0,18.0,20.0,17.0,12.0,14.0,3
7.0,0.0,-1.0,-2.0,6.0,0.0,-9.0,-1.0,-31.0,7.0,1.0,8.0,18.0,37.0,13.0,2.0,3
28.0,34.0,38.0,39.0,46.0,14.0,29.0,35.0,1.0,11.0,47.0,59.0,86.0,142.0,42.0,39.0,3
7.0,7.0,7.0,8.0,10.0,13.0,5.0,9.0,2.0,5.0,3.0,4.0,2.0,14.0,10.0,7.0,3
13.0,12.0,13.0,17.0,14.0,22.0,16.0,13.0,31.0,7.0,11.0,14.0,12.0,29.0,19.0,14.0,3
-9.0,-7.0,-3.0,0.0,10.0,19.0,-9.0,-10.0,3.0,1.0,-2.0,2.0,11.0,-2.0,-9.0,3.0,3
20.0,28.0,27.0,29.0,51.0,87.0,24.0,21.0,-50.0,-61.0,40.0,40.0,63.0,92.0,52.0,33.0,3
-2.0,-1.0,-1.0,-5.0,-7.0,-16.0,1.0,-1.0,2.0,1.0,0.0,4.0,6.0,24.0,-4.0,2.0,3
7.0,4.0,6.0,11.0,20.0,40.0,20.0,6.0,6.0,15.0,11.0,16.0,40.0,82.0,31.0,17.0,3
10.0,8.0,9.0,8.0,10.0,9.0,0.0,8.0,-32.0,32.0,8.0,4.0,-8.0,15.0,17.0,11.0,3
-3.0,-4.0,-5.0,-7.0,-15.0,-31.0,-4.0,-4.0,-3.0,-4.0,-6.0,-7.0,-11.0,-11.0,-26.0,-17.0,3
-72.0,-87.0,-96.0,-96.0,-75.0,-18.0,-88.0,-92.0,45.0,44.0,-97.0,-87.0,-78.0,0.0,-40.0,-72.0,3
80.0,54.0,58.0,55.0,69.0,70.0,31.0,39.0,527.0,-271.0,45.0,62.0,46.0,43.0,71.0,47.0,3
15.0,14.0,15.0,17.0,16.0,7.0,18.0,17.0,29.0,13.0,17.0,23.0,24.0,31.0,17.0,17.0,3
1.0,-2.0,-6.0,-3.0,-8.0,-27.0,-15.0,-7.0,8.0,-18.0,-13.0,-16.0,7.0,14.0,8.0,0.0,3
11.0,10.0,8.0,10.0,11.0,10.0,14.0,10.0,-7.0,17.0,8.0,6.0,11.0,17.0,4.0,12.0,3
-2.0,-4.0,-6.0,-12.0,4.0,14.0,-12.0,-4.0,-20.0,14.0,0.0,0.0,16.0,40.0,5.0,0.0,3
75.0,80.0,78.0,78.0,83.0,56.0,72.0,71.0,-10.0,109.0,83.0,84.0,98.0,103.0,76.0,70.0,3
-4.0,-8.0,-4.0,2.0,1.0,-1.0,-2.0,-3.0,106.0,-37.0,-6.0,0.0,1.0,-3.0,-5.0,-6.0,3
-17.0,-25.0,-25.0,-27.0,-22.0,-5.0,-40.0,-32.0,20.0,-53.0,-24.0,-16.0,-16.0,29.0,-14.0,-19.0,3
2.0,-7.0,-10.0,-6.0,1.0,14.0,-7.0,-8.0,16.0,-34.0,-7.0,-1.0,7.0,20.0,15.0,-1.0,3
-96.0,-103.0,-100.0,-93.0,-61.0,-7.0,-120.0,-104.0,102.0,-128.0,-95.0,-92.0,-95.0,-58.0,-123.0,-100.0,3
46.0,52.0,52.0,51.0,37.0,4.0,-5.0,32.0,-4.0,27.0,53.0,50.0,69.0,75.0,51.0,39.0,3
7.0,9.0,6.0,10.0,6.0,-59.0,-12.0,6.0,-70.0,39.0,10.0,3.0,11.0,81.0,28.0,19.0,3
5.0,4.0,5.0,9.0,8.0,17.0,19.0,11.0,11.0,-3.0,4.0,5.0,-4.0,-44.0,-10.0,6.0,3
1.0,-3.0,-7.0,-18.0,-54.0,-32.0,25.0,5.0,-6.0,0.0,-10.0,-20.0,-40.0,-64.0,-6.0,4.0,3
-9.0,-9.0,-8.0,-7.0,-12.0,-10.0,-10.0,-8.0,-12.0,-10.0,-10.0,-12.0,-10.0,-15.0,-8.0,-7.0,3
25.0,25.0,23.0,17.0,-18.0,-46.0,-4.0,25.0,-27.0,41.0,20.0,2.0,-32.0,-130.0,-50.0,8.0,3
0.0,4.0,7.0,10.0,23.0,43.0,14.0,5.0,-14.0,18.0,9.0,13.0,12.0,17.0,11.0,9.0,3
5.0,7.0,7.0,6.0,4.0,18.0,6.0,4.0,13.0,-5.0,3.0,2.0,-5.0,-23.0,-25.0,-13.0,3
-39.0,-37.0,-37.0,-32.0,-16.0,13.0,-74.0,-44.0,-20.0,-39.0,-32.0,-22.0,-4.0,74.0,-3.0,-22.0,3
-20.0,-24.0,-25.0,-15.0,12.0,10.0,-53.0,-34.0,276.0,-178.0,-30.0,-7.0,17.0,100.0,57.0,1.0,3
