0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-9.0,-11.0,-10.0,-2.0,-11.0,-18.0,-47.0,-55.0,-10.0,-11.0,-11.0,-22.0,-17.0,-14.0,-24.0,-21.0,-23.0,-13.0,-6.0,-108.0,-19.0,-17.0,-13.0,-15.0,7
-8.0,-1.0,-2.0,3.0,7.0,28.0,7.0,4.0,1.0,4.0,0.0,1.0,13.0,14.0,14.0,-2.0,-11.0,-11.0,-8.0,17.0,-14.0,-14.0,1.0,6.0,7
33.0,34.0,31.0,28.0,29.0,27.0,31.0,21.0,39.0,35.0,32.0,29.0,32.0,39.0,41.0,50.0,22.0,21.0,19.0,18.0,18.0,25.0,33.0,31.0,7
5.0,3.0,0.0,-6.0,-10.0,-24.0,-17.0,-42.0,205.0,189.0,131.0,24.0,34.0,76.0,117.0,183.0,-2.0,-1.0,-1.0,-35.0,-11.0,-15.0,-19.0,-18.0,7
-1.0,-7.0,-4.0,-6.0,-7.0,-4.0,-18.0,-33.0,-349.0,-268.0,-168.0,-38.0,-32.0,-82.0,-166.0,-323.0,4.0,16.0,21.0,-150.0,-7.0,-5.0,-2.0,1.0,7
-21.0,-27.0,-19.0,-12.0,0.0,-3.0,-14.0,-8.0,-13.0,-14.0,-10.0,-8.0,1.0,3.0,-3.0,-5.0,-6.0,0.0,-5.0,-24.0,-3.0,10.0,22.0,6.0,7
2.0,0.0,3.0,2.0,5.0,-9.0,-14.0,-11.0,10.0,9.0,5.0,5.0,13.0,20.0,12.0,16.0,1.0,0.0,-1.0,11.0,5.0,15.0,44.0,44.0,7
-18.0,-8.0,-15.0,-26.0,-25.0,24.0,127.0,289.0,2.0,-1.0,-8.0,-19.0,-20.0,-17.0,-24.0,-10.0,-23.0,-23.0,-23.0,-43.0,-20.0,-35.0,-52.0,-27.0,7
-29.0,-24.0,-22.0,-19.0,-27.0,-31.0,-23.0,-50.0,-58.0,-55.0,-40.0,-31.0,-59.0,-84.0,-67.0,-61.0,-14.0,-14.0,-17.0,-27.0,-24.0,-40.0,-41.0,-23.0,7
-14.0,-12.0,-11.0,-10.0,-9.0,-4.0,4.0,-6.0,-9.0,-10.0,-11.0,-4.0,0.0,0.0,0.0,-6.0,1.0,0.0,2.0,5.0,10.0,17.0,10.0,-7.0,7
-39.0,-24.0,-21.0,-26.0,-25.0,-14.0,-10.0,-5.0,-14.0,-14.0,-15.0,-18.0,-21.0,-18.0,-17.0,-12.0,-6.0,-8.0,-6.0,-5.0,-11.0,-15.0,-10.0,-3.0,7
12.0,17.0,9.0,11.0,3.0,0.0,8.0,13.0,14.0,11.0,8.0,8.0,7.0,0.0,-3.0,19.0,9.0,8.0,6.0,5.0,5.0,2.0,24.0,28.0,7
-24.0,-21.0,-16.0,-24.0,-24.0,-22.0,-31.0,-37.0,-19.0,-17.0,-15.0,-12.0,-9.0,-7.0,-6.0,-12.0,-9.0,-11.0,-8.0,-5.0,0.0,6.0,21.0,3.0,7
2.0,1.0,2.0,2.0,2.0,-3.0,6.0,-4.0,-2.0,-3.0,6.0,8.0,2.0,5.0,5.0,2.0,5.0,5.0,6.0,-18.0,2.0,10.0,20.0,2.0,7
8.0,16.0,16.0,7.0,7.0,33.0,100.0,202.0,83.0,66.0,45.0,13.0,18.0,26.0,42.0,78.0,25.0,21.0,18.0,17.0,15.0,15.0,13.0,12.0,7
-6.0,-11.0,-14.0,-14.0,-8.0,-15.0,-11.0,-11.0,-4.0,-2.0,-4.0,-9.0,-5.0,-15.0,-10.0,8.0,2.0,1.0,2.0,-1.0,3.0,10.0,2.0,13.0,7
-11.0,-16.0,-19.0,-21.0,-20.0,-18.0,1.0,7.0,-12.0,-16.0,-17.0,-17.0,-18.0,-21.0,-18.0,-17.0,-20.0,-19.0,-17.0,-16.0,-4.0,-3.0,-15.0,-33.0,7
34.0,28.0,24.0,23.0,14.0,-9.0,-21.0,-15.0,-14.0,-13.0,-4.0,4.0,-10.0,-18.0,-31.0,-15.0,5.0,1.0,-7.0,-19.0,-22.0,-37.0,-45.0,3.0,7
6.0,2.0,3.0,2.0,3.0,3.0,11.0,16.0,-1.0,-1.0,4.0,4.0,1.0,-7.0,-8.0,-1.0,1.0,2.0,1.0,-6.0,2.0,-1.0,-26.0,-5.0,7
-12.0,-9.0,-7.0,-2.0,3.0,8.0,5.0,1.0,-1.0,-2.0,-2.0,-2.0,0.0,6.0,15.0,12.0,-8.0,-7.0,-8.0,0.0,-9.0,-15.0,-23.0,-19.0,7
-21.0,-19.0,-12.0,-16.0,-16.0,-12.0,-15.0,-31.0,-4.0,-7.0,-4.0,-6.0,-6.0,2.0,-3.0,-4.0,-6.0,-9.0,-11.0,-1.0,-8.0,-4.0,25.0,-3.0,7
-2.0,-6.0,-7.0,-4.0,-4.0,-13.0,-48.0,-66.0,9.0,23.0,10.0,4.0,14.0,10.0,0.0,-22.0,-10.0,-5.0,-5.0,-2.0,-14.0,-11.0,-7.0,-27.0,7
7.0,9.0,6.0,4.0,3.0,2.0,0.0,4.0,13.0,11.0,11.0,9.0,6.0,6.0,3.0,6.0,12.0,8.0,8.0,21.0,8.0,9.0,15.0,12.0,7
-19.0,-16.0,-12.0,-12.0,-14.0,-11.0,-27.0,-50.0,-18.0,-17.0,-11.0,-11.0,-21.0,-19.0,-14.0,-9.0,-17.0,-16.0,-17.0,-16.0,-18.0,-21.0,-21.0,-33.0,7
-11.0,-16.0,-15.0,0.0,6.0,8.0,-13.0,-36.0,-77.0,-68.0,-55.0,-21.0,-16.0,-14.0,-28.0,-58.0,-17.0,-13.0,-14.0,0.0,-10.0,-11.0,-4.0,2.0,7
14.0,0.0,-6.0,-8.0,-7.0,-8.0,-11.0,-11.0,2.0,-3.0,-5.0,-5.0,-3.0,-2.0,-3.0,-10.0,0.0,-1.0,-4.0,-1.0,-2.0,2.0,-3.0,2.0,7
-14.0,-8.0,-15.0,-8.0,-5.0,-6.0,-14.0,-33.0,-5.0,-7.0,-8.0,-6.0,-3.0,-5.0,2.0,0.0,0.0,-2.0,-3.0,3.0,1.0,6.0,10.0,20.0,7
22.0,23.0,21.0,27.0,26.0,30.0,10.0,-25.0,22.0,19.0,18.0,19.0,20.0,43.0,43.0,29.0,19.0,17.0,13.0,11.0,5.0,3.0,50.0,40.0,7
-15.0,-21.0,-20.0,-13.0,-12.0,-5.0,-13.0,-3.0,-25.0,-20.0,-17.0,-15.0,-9.0,0.0,-11.0,-25.0,-14.0,-12.0,-12.0,-10.0,-5.0,-8.0,-24.0,-18.0,7
20.0,13.0,14.0,15.0,15.0,6.0,-9.0,-27.0,-45.0,-40.0,-22.0,3.0,-8.0,-25.0,-58.0,-56.0,3.0,5.0,3.0,-9.0,7.0,12.0,25.0,13.0,7
-10.0,0.0,11.0,19.0,21.0,23.0,28.0,15.0,-35.0,-33.0,-17.0,6.0,-2.0,3.0,-18.0,-22.0,-5.0,-5.0,-10.0,-5.0,-14.0,-16.0,-11.0,-11.0,7
-21.0,-15.0,-25.0,-29.0,-33.0,-83.0,-91.0,-42.0,-29.0,-26.0,-22.0,-22.0,-13.0,-47.0,-65.0,-47.0,-15.0,-13.0,-11.0,22.0,19.0,29.0,-29.0,-38.0,7
5.0,15.0,25.0,18.0,13.0,4.0,-7.0,-5.0,-4.0,5.0,14.0,15.0,8.0,1.0,-13.0,-8.0,-4.0,-1.0,-2.0,5.0,-2.0,-5.0,-24.0,-13.0,7
54.0,72.0,65.0,59.0,47.0,49.0,32.0,1.0,50.0,51.0,62.0,59.0,35.0,70.0,85.0,46.0,44.0,42.0,48.0,38.0,6.0,-12.0,25.0,63.0,7
-26.0,-24.0,-23.0,-24.0,-27.0,-50.0,-77.0,-60.0,-31.0,-31.0,-24.0,-21.0,-18.0,-32.0,-28.0,-21.0,-16.0,-11.0,-11.0,-32.0,7.0,11.0,-24.0,-24.0,7
-19.0,-10.0,-13.0,-8.0,-4.0,1.0,-6.0,-10.0,-9.0,-8.0,-7.0,-10.0,-8.0,-12.0,-13.0,-13.0,-2.0,-5.0,-8.0,-17.0,-14.0,-14.0,-6.0,9.0,7
-1.0,0.0,9.0,9.0,13.0,60.0,51.0,43.0,1.0,1.0,8.0,7.0,-2.0,15.0,25.0,11.0,-4.0,-5.0,-6.0,21.0,-3.0,-3.0,17.0,5.0,7
22.0,18.0,12.0,12.0,17.0,20.0,32.0,35.0,13.0,13.0,12.0,5.0,1.0,0.0,11.0,15.0,7.0,6.0,1.0,-14.0,-16.0,-32.0,-58.0,-15.0,7
1.0,0.0,2.0,7.0,5.0,-8.0,-1.0,-11.0,-50.0,-50.0,-33.0,-4.0,-10.0,-15.0,-30.0,-38.0,3.0,6.0,5.0,-27.0,4.0,6.0,2.0,-7.0,7
-34.0,-29.0,-27.0,-26.0,-27.0,-26.0,-19.0,-14.0,-28.0,-25.0,-25.0,-25.0,-23.0,-29.0,-31.0,-35.0,-21.0,-22.0,-22.0,6.0,-12.0,-11.0,-21.0,-11.0,7
-46.0,-27.0,-15.0,-6.0,1.0,7.0,13.0,-8.0,-16.0,-15.0,-11.0,-7.0,7.0,23.0,42.0,31.0,-21.0,-13.0,-10.0,2.0,10.0,27.0,31.0,-17.0,7
-12.0,-20.0,-14.0,-10.0,-13.0,-21.0,-26.0,-35.0,-79.0,-64.0,-52.0,-24.0,-20.0,-36.0,-55.0,-86.0,-14.0,-10.0,-17.0,-15.0,-15.0,-19.0,-29.0,-11.0,7
-40.0,-41.0,-36.0,-30.0,-25.0,-17.0,-25.0,-22.0,-31.0,-32.0,-32.0,-25.0,-24.0,-22.0,-24.0,-19.0,-24.0,-29.0,-29.0,-37.0,-21.0,-19.0,-23.0,-31.0,7
17.0,9.0,15.0,16.0,15.0,15.0,2.0,-14.0,17.0,14.0,11.0,10.0,13.0,17.0,15.0,17.0,16.0,17.0,9.0,-14.0,10.0,12.0,12.0,12.0,7
-22.0,-24.0,-24.0,-14.0,-15.0,1.0,-3.0,-27.0,-16.0,-20.0,-19.0,-14.0,-14.0,7.0,4.0,-8.0,-14.0,-24.0,-38.0,-28.0,-21.0,-14.0,10.0,0.0,7
-2.0,2.0,10.0,-1.0,2.0,-5.0,-1.0,2.0,-3.0,3.0,7.0,4.0,4.0,-2.0,-7.0,0.0,-2.0,1.0,5.0,1.0,6.0,4.0,-3.0,-3.0,7
7.0,-1.0,0.0,-1.0,3.0,2.0,-8.0,-28.0,7.0,5.0,3.0,2.0,4.0,9.0,12.0,16.0,14.0,9.0,8.0,7.0,4.0,8.0,25.0,35.0,7
-11.0,5.0,10.0,13.0,14.0,15.0,11.0,18.0,2.0,6.0,5.0,10.0,10.0,8.0,7.0,10.0,4.0,7.0,7.0,-3.0,7.0,3.0,-11.0,-15.0,7
-4.0,5.0,5.0,8.0,-1.0,-2.0,12.0,-8.0,-6.0,-6.0,-1.0,0.0,-14.0,-19.0,-10.0,-14.0,1.0,4.0,5.0,-19.0,-10.0,-10.0,12.0,-3.0,7
1.0,-1.0,-3.0,4.0,6.0,-1.0,-22.0,-47.0,-64.0,-49.0,-40.0,-15.0,-11.0,-20.0,-30.0,-62.0,-3.0,-3.0,-5.0,16.0,-6.0,-12.0,0.0,-4.0,7
-20.0,-22.0,-25.0,-22.0,-20.0,-20.0,-28.0,-25.0,-20.0,-20.0,-19.0,-19.0,-20.0,-23.0,-27.0,-23.0,-18.0,-16.0,-18.0,-14.0,-16.0,-17.0,-27.0,-19.0,7
-19.0,-14.0,-12.0,-12.0,-16.0,-9.0,-12.0,-13.0,-15.0,-15.0,-13.0,-16.0,-28.0,-22.0,-20.0,-28.0,-16.0,-17.0,-20.0,-23.0,-39.0,-52.0,-28.0,-14.0,7
-25.0,-19.0,-17.0,-16.0,-16.0,-18.0,-31.0,-42.0,-18.0,-17.0,-16.0,-12.0,-4.0,-6.0,-13.0,-8.0,-11.0,-10.0,-8.0,-3.0,-1.0,3.0,5.0,7.0,7
26.0,28.0,25.0,24.0,19.0,20.0,25.0,21.0,23.0,21.0,23.0,24.0,17.0,14.0,24.0,28.0,18.0,19.0,23.0,22.0,21.0,19.0,24.0,20.0,7
16.0,21.0,28.0,32.0,31.0,30.0,23.0,-15.0,4.0,4.0,13.0,21.0,22.0,29.0,25.0,27.0,21.0,21.0,23.0,-3.0,29.0,34.0,48.0,37.0,7
-21.0,-21.0,-23.0,-18.0,-12.0,-12.0,-8.0,-11.0,-19.0,-19.0,-14.0,-14.0,-12.0,-21.0,-31.0,-19.0,-12.0,-10.0,-7.0,-15.0,-6.0,-10.0,-20.0,-6.0,7
7.0,10.0,5.0,9.0,12.0,1.0,2.0,-3.0,11.0,10.0,8.0,11.0,15.0,24.0,19.0,16.0,4.0,4.0,4.0,9.0,12.0,23.0,42.0,33.0,7
-13.0,-23.0,-24.0,-21.0,-16.0,-37.0,-41.0,-41.0,-54.0,-56.0,-48.0,-33.0,-35.0,-45.0,-58.0,-57.0,-22.0,-22.0,-28.0,-29.0,-25.0,-31.0,-46.0,-27.0,7
-6.0,-11.0,-10.0,-7.0,-11.0,-16.0,-25.0,-25.0,-88.0,-43.0,-23.0,-13.0,-13.0,-16.0,-33.0,-65.0,-2.0,9.0,10.0,-211.0,-32.0,-18.0,4.0,-2.0,7
-9.0,-16.0,-16.0,-21.0,-15.0,-15.0,-7.0,0.0,-5.0,-8.0,-8.0,-12.0,-11.0,-12.0,-17.0,-2.0,-3.0,-7.0,-6.0,-17.0,-8.0,-5.0,-8.0,1.0,7
28.0,23.0,28.0,29.0,29.0,26.0,21.0,16.0,21.0,20.0,17.0,26.0,30.0,29.0,25.0,27.0,23.0,25.0,25.0,16.0,25.0,29.0,31.0,33.0,7
-19.0,-19.0,-15.0,-16.0,-14.0,-11.0,-33.0,-53.0,-17.0,-18.0,-15.0,-14.0,-14.0,-9.0,-18.0,-16.0,-23.0,-15.0,-11.0,-153.0,-29.0,-21.0,-13.0,-15.0,7
-23.0,-22.0,-21.0,-20.0,-20.0,-26.0,-49.0,-52.0,-14.0,-17.0,-20.0,-20.0,-19.0,-13.0,0.0,6.0,-13.0,-12.0,-15.0,-45.0,-20.0,-19.0,-19.0,-13.0,7
9.0,11.0,12.0,12.0,10.0,8.0,3.0,6.0,8.0,7.0,7.0,9.0,14.0,14.0,4.0,9.0,3.0,4.0,0.0,-3.0,7.0,10.0,5.0,-1.0,7
-8.0,-17.0,-20.0,-22.0,-27.0,-35.0,-29.0,-16.0,-13.0,-18.0,-18.0,-17.0,-24.0,-37.0,-29.0,-6.0,-20.0,-21.0,-22.0,-15.0,-17.0,-22.0,-45.0,-41.0,7
17.0,-5.0,5.0,10.0,21.0,32.0,5.0,-27.0,-47.0,-44.0,-32.0,-7.0,5.0,8.0,-13.0,-33.0,16.0,12.0,0.0,-5.0,8.0,19.0,31.0,41.0,7
-32.0,-33.0,-26.0,-18.0,-20.0,-34.0,-60.0,-71.0,-97.0,-85.0,-66.0,-33.0,-35.0,-50.0,-64.0,-92.0,-14.0,-10.0,-15.0,-24.0,-11.0,-6.0,-1.0,-14.0,7
6.0,21.0,27.0,38.0,43.0,34.0,25.0,4.0,-52.0,-41.0,-22.0,12.0,16.0,13.0,-16.0,-43.0,6.0,12.0,6.0,5.0,5.0,5.0,-1.0,2.0,7
16.0,12.0,9.0,6.0,7.0,-2.0,-4.0,-8.0,8.0,7.0,0.0,3.0,8.0,9.0,0.0,4.0,8.0,8.0,9.0,5.0,5.0,7.0,4.0,19.0,7
30.0,24.0,17.0,9.0,9.0,26.0,37.0,60.0,233.0,174.0,106.0,27.0,35.0,70.0,112.0,212.0,27.0,25.0,28.0,-30.0,6.0,14.0,2.0,18.0,7
-8.0,-14.0,-17.0,-18.0,-18.0,-10.0,-7.0,-2.0,-3.0,-7.0,-8.0,-10.0,-17.0,-22.0,-19.0,-4.0,-6.0,-3.0,-3.0,-3.0,-5.0,-11.0,-20.0,-27.0,7
-20.0,-15.0,-6.0,-8.0,-4.0,-5.0,-5.0,-27.0,-24.0,-14.0,-11.0,-7.0,-2.0,-2.0,3.0,-26.0,-10.0,0.0,3.0,-34.0,-8.0,-9.0,-22.0,-19.0,7
-30.0,-39.0,-23.0,-27.0,-18.0,-22.0,-46.0,-64.0,-35.0,-17.0,-19.0,-16.0,-3.0,-8.0,-15.0,-38.0,-24.0,-29.0,-37.0,-23.0,-24.0,-23.0,-37.0,-35.0,7
11.0,8.0,12.0,14.0,11.0,-2.0,-27.0,-48.0,-57.0,-52.0,-35.0,-4.0,-10.0,-26.0,-46.0,-45.0,14.0,22.0,23.0,-133.0,-6.0,-3.0,11.0,4.0,7
22.0,21.0,16.0,17.0,18.0,5.0,3.0,8.0,27.0,21.0,19.0,16.0,21.0,34.0,43.0,37.0,23.0,24.0,23.0,-19.0,17.0,21.0,31.0,27.0,7
-41.0,-31.0,-34.0,-31.0,-24.0,-42.0,-36.0,-18.0,-36.0,-32.0,-27.0,-23.0,-13.0,-22.0,-39.0,-50.0,-17.0,-11.0,-8.0,-41.0,-5.0,1.0,-29.0,-26.0,7
23.0,22.0,20.0,16.0,16.0,12.0,13.0,17.0,17.0,16.0,16.0,17.0,17.0,11.0,3.0,19.0,15.0,17.0,19.0,10.0,14.0,14.0,0.0,11.0,7
-40.0,-31.0,-29.0,-24.0,-23.0,-16.0,-16.0,-14.0,-29.0,-28.0,-25.0,-22.0,-21.0,-24.0,-24.0,-23.0,-28.0,-26.0,-22.0,-10.0,-21.0,-23.0,-30.0,-25.0,7
-2.0,2.0,0.0,0.0,-4.0,-8.0,-8.0,-9.0,1.0,1.0,1.0,0.0,0.0,11.0,5.0,5.0,-3.0,-3.0,-4.0,-1.0,-11.0,-10.0,15.0,12.0,7
-7.0,6.0,8.0,-11.0,-15.0,10.0,129.0,239.0,18.0,9.0,2.0,-7.0,-9.0,12.0,43.0,39.0,3.0,1.0,2.0,-73.0,-11.0,-19.0,-33.0,-14.0,7
-2.0,4.0,7.0,8.0,3.0,-8.0,-10.0,-19.0,-1.0,-1.0,0.0,0.0,0.0,-10.0,-17.0,-1.0,8.0,8.0,5.0,4.0,0.0,1.0,-10.0,10.0,7
1.0,12.0,17.0,15.0,12.0,4.0,-14.0,-10.0,9.0,10.0,15.0,19.0,19.0,21.0,23.0,13.0,7.0,6.0,7.0,37.0,17.0,23.0,33.0,21.0,7
-11.0,-21.0,-21.0,-14.0,-11.0,4.0,-2.0,-27.0,-6.0,-10.0,-16.0,-20.0,-24.0,-9.0,2.0,18.0,-16.0,-18.0,-18.0,-17.0,-34.0,-45.0,-36.0,-31.0,7
-22.0,-24.0,-29.0,-19.0,-24.0,-22.0,-18.0,-43.0,-76.0,-76.0,-64.0,-33.0,-41.0,-67.0,-66.0,-78.0,-16.0,-14.0,-12.0,-5.0,0.0,0.0,-12.0,-17.0,7
-43.0,-36.0,-38.0,-35.0,-46.0,-31.0,8.0,-17.0,-50.0,-43.0,-37.0,-41.0,-89.0,-123.0,-66.0,-66.0,-27.0,-22.0,-20.0,-20.0,-28.0,-58.0,-72.0,-62.0,7
-31.0,-27.0,-16.0,-17.0,-16.0,-16.0,-26.0,-30.0,-36.0,-35.0,-24.0,-15.0,-14.0,-14.0,-19.0,-29.0,-12.0,-11.0,-10.0,-21.0,-6.0,1.0,5.0,-7.0,7
8.0,8.0,13.0,12.0,1.0,-14.0,-23.0,-56.0,96.0,101.0,74.0,32.0,48.0,61.0,78.0,88.0,21.0,19.0,21.0,-8.0,17.0,25.0,16.0,17.0,7
-26.0,-31.0,-38.0,-45.0,-50.0,-56.0,-63.0,-51.0,-43.0,-42.0,-47.0,-48.0,-50.0,-71.0,-86.0,-74.0,-37.0,-36.0,-37.0,-55.0,-41.0,-53.0,-103.0,-68.0,7
-20.0,-18.0,-15.0,-12.0,-14.0,8.0,-12.0,-22.0,-24.0,-19.0,-17.0,-12.0,-9.0,-3.0,-13.0,-28.0,-13.0,-7.0,-5.0,-65.0,-8.0,0.0,8.0,-9.0,7
-1.0,-2.0,2.0,0.0,-7.0,-27.0,-33.0,-46.0,-13.0,-15.0,-9.0,-2.0,-5.0,-10.0,-14.0,-3.0,-2.0,1.0,-1.0,-12.0,2.0,4.0,3.0,-10.0,7
19.0,15.0,29.0,21.0,14.0,12.0,1.0,-7.0,21.0,19.0,25.0,29.0,20.0,32.0,32.0,25.0,21.0,22.0,27.0,20.0,25.0,23.0,47.0,33.0,7
8.0,2.0,10.0,22.0,19.0,24.0,12.0,-10.0,0.0,1.0,7.0,17.0,16.0,23.0,-1.0,0.0,-7.0,-1.0,3.0,-60.0,-5.0,-2.0,8.0,5.0,7
-32.0,-24.0,-31.0,-31.0,-33.0,-49.0,-49.0,-56.0,-28.0,-33.0,-33.0,-32.0,-32.0,-40.0,-34.0,-23.0,-20.0,-21.0,-22.0,-43.0,-29.0,-34.0,-48.0,-33.0,7
-45.0,-56.0,-60.0,-60.0,-45.0,-29.0,-32.0,-46.0,-41.0,-40.0,-32.0,-9.0,-24.0,-25.0,-42.0,-40.0,-26.0,-12.0,1.0,-35.0,-6.0,-22.0,-25.0,-27.0,7
4.0,1.0,-3.0,-5.0,-4.0,-10.0,-4.0,-2.0,-4.0,-4.0,-4.0,-6.0,-9.0,-25.0,-15.0,-10.0,-7.0,-5.0,-4.0,-10.0,-7.0,-5.0,-1.0,-7.0,7
3.0,1.0,1.0,3.0,4.0,6.0,14.0,17.0,12.0,7.0,5.0,7.0,12.0,26.0,34.0,27.0,10.0,7.0,7.0,15.0,13.0,20.0,31.0,21.0,7
-21.0,-30.0,-32.0,-32.0,-23.0,-34.0,-31.0,-6.0,-20.0,-23.0,-31.0,-29.0,-10.0,-19.0,-25.0,-25.0,-18.0,-22.0,-24.0,-7.0,-2.0,12.0,-8.0,-9.0,7
-4.0,-7.0,-5.0,-1.0,1.0,-20.0,-25.0,-12.0,-6.0,-2.0,-1.0,0.0,5.0,-3.0,-20.0,-16.0,-5.0,-1.0,1.0,-7.0,6.0,4.0,-10.0,-7.0,7
12.0,12.0,13.0,4.0,10.0,52.0,80.0,132.0,79.0,69.0,50.0,20.0,27.0,40.0,49.0,84.0,23.0,22.0,22.0,27.0,23.0,29.0,32.0,33.0,7
5.0,3.0,0.0,4.0,6.0,7.0,8.0,21.0,-1.0,0.0,-3.0,-2.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0,-4.0,0.0,1.0,-3.0,0.0,7
12.0,9.0,12.0,14.0,12.0,-1.0,-25.0,-46.0,-57.0,-51.0,-35.0,-4.0,-10.0,-25.0,-47.0,-46.0,13.0,22.0,23.0,-133.0,-6.0,-4.0,10.0,3.0,7
8.0,1.0,-3.0,-4.0,1.0,-14.0,-2.0,14.0,14.0,10.0,0.0,0.0,16.0,5.0,2.0,12.0,7.0,6.0,8.0,25.0,34.0,43.0,23.0,23.0,7
19.0,17.0,26.0,19.0,19.0,21.0,12.0,13.0,23.0,21.0,23.0,21.0,20.0,19.0,25.0,30.0,17.0,15.0,12.0,23.0,20.0,21.0,21.0,25.0,7
8.0,1.0,5.0,4.0,1.0,-4.0,1.0,-3.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,-8.0,7.0,8.0,7.0,-31.0,0.0,-4.0,-1.0,8.0,7
