0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
23.0,15.0,19.0,14.0,14.0,18.0,20.0,25.0,24.0,19.0,16.0,15.0,17.0,25.0,31.0,34.0,25.0,25.0,22.0,-33.0,20.0,25.0,25.0,8.0,7
12.0,7.0,5.0,7.0,8.0,5.0,7.0,1.0,10.0,8.0,10.0,12.0,9.0,11.0,21.0,23.0,0.0,1.0,4.0,0.0,0.0,-5.0,-2.0,-12.0,7
14.0,13.0,19.0,25.0,26.0,25.0,8.0,-12.0,12.0,15.0,15.0,21.0,26.0,30.0,22.0,19.0,5.0,8.0,9.0,6.0,15.0,23.0,32.0,9.0,7
-14.0,-21.0,-28.0,-28.0,-30.0,-33.0,-27.0,-26.0,-11.0,-19.0,-23.0,-25.0,-28.0,-28.0,-19.0,-15.0,-9.0,-11.0,-13.0,-16.0,-11.0,-11.0,-11.0,-22.0,7
6.0,3.0,8.0,9.0,7.0,12.0,10.0,14.0,3.0,5.0,9.0,8.0,1.0,-5.0,2.0,-4.0,-7.0,-2.0,-1.0,9.0,0.0,-5.0,-2.0,-14.0,7
-1.0,-3.0,-5.0,2.0,2.0,4.0,-8.0,-15.0,-7.0,-8.0,-3.0,3.0,3.0,6.0,-13.0,-6.0,3.0,6.0,8.0,-83.0,-8.0,-7.0,10.0,6.0,7
1.0,1.0,-1.0,-2.0,-5.0,-6.0,1.0,7.0,2.0,3.0,0.0,0.0,2.0,-1.0,-5.0,0.0,0.0,0.0,2.0,7.0,7.0,7.0,-13.0,-6.0,7
5.0,-11.0,-12.0,-10.0,-4.0,-14.0,-16.0,-14.0,-7.0,-11.0,-13.0,-12.0,-3.0,-3.0,-5.0,-2.0,-15.0,-16.0,-20.0,-22.0,-9.0,-4.0,-13.0,-18.0,7
1.0,0.0,-2.0,3.0,8.0,20.0,19.0,8.0,15.0,10.0,8.0,10.0,17.0,34.0,48.0,21.0,12.0,7.0,7.0,33.0,16.0,22.0,30.0,19.0,7
10.0,17.0,15.0,16.0,7.0,8.0,-5.0,-6.0,8.0,6.0,5.0,10.0,0.0,6.0,17.0,15.0,5.0,6.0,3.0,-1.0,-12.0,-20.0,-24.0,-20.0,7
-3.0,-1.0,3.0,8.0,14.0,10.0,2.0,0.0,2.0,7.0,14.0,16.0,17.0,19.0,15.0,6.0,8.0,9.0,9.0,13.0,11.0,15.0,17.0,13.0,7
57.0,49.0,60.0,61.0,60.0,66.0,60.0,40.0,57.0,52.0,48.0,54.0,57.0,80.0,86.0,71.0,38.0,35.0,29.0,37.0,28.0,39.0,78.0,63.0,7
-21.0,-18.0,-23.0,-22.0,-28.0,-55.0,-31.0,-22.0,-21.0,-17.0,-16.0,-19.0,-22.0,-27.0,-11.0,-14.0,-24.0,-18.0,-16.0,-8.0,-8.0,-7.0,-6.0,-29.0,7
5.0,7.0,9.0,12.0,12.0,15.0,15.0,1.0,14.0,12.0,14.0,17.0,20.0,27.0,34.0,24.0,15.0,15.0,17.0,30.0,29.0,38.0,64.0,36.0,7
-1.0,-14.0,-21.0,-16.0,-10.0,-10.0,-21.0,-19.0,-35.0,-40.0,-32.0,-18.0,-19.0,-20.0,-31.0,-35.0,-6.0,-7.0,-12.0,-14.0,-8.0,-1.0,1.0,1.0,7
8.0,12.0,7.0,6.0,5.0,-6.0,23.0,27.0,3.0,-1.0,2.0,8.0,4.0,-1.0,10.0,4.0,10.0,11.0,10.0,-11.0,4.0,8.0,6.0,-4.0,7
0.0,-3.0,3.0,15.0,8.0,9.0,-3.0,-4.0,-4.0,-4.0,-1.0,0.0,0.0,-2.0,-11.0,-3.0,-11.0,-1.0,2.0,-134.0,-23.0,-17.0,3.0,-5.0,7
9.0,-1.0,-8.0,0.0,9.0,7.0,8.0,3.0,0.0,-3.0,-7.0,-4.0,4.0,3.0,-1.0,3.0,4.0,0.0,-7.0,-16.0,-2.0,2.0,-1.0,2.0,7
4.0,6.0,4.0,4.0,6.0,17.0,28.0,5.0,4.0,2.0,3.0,0.0,-6.0,4.0,0.0,8.0,9.0,12.0,9.0,-64.0,-17.0,-12.0,-6.0,-3.0,7
0.0,-2.0,-3.0,-2.0,-3.0,-6.0,0.0,8.0,-9.0,-7.0,-6.0,-8.0,-12.0,-16.0,-16.0,-15.0,-10.0,-7.0,-9.0,-6.0,-10.0,-19.0,-15.0,-5.0,7
4.0,2.0,0.0,-3.0,-3.0,-5.0,-6.0,-7.0,1.0,1.0,-4.0,-10.0,-4.0,-1.0,-2.0,5.0,1.0,1.0,1.0,-8.0,-1.0,1.0,0.0,-2.0,7
